"","UYRUK","GELIR","CALISAN_SAYISI","DIL","YAS","CINSIYET","EGITIM_SEVIYESI","ILCE","ONCEKI_MESLEK","MEDENI_DURUM","EBEVEYN_SAYISI","AILE_KISI_SAYISI","A_SABIKA_KAYDI","PSIKIYATRI_KAYDI","SABIKA_KAYDI","MADDE_BAGIMLILIGI","TEROR","SUC_TESPITI","","","","","","",""
"1","SURIYE","12500","2","ARAPCA","32","KADIN","EGITIMSIZ","BAGCILAR","EV_HANIMI","BOSANMIS","1","5","2","0","2","1","1","0","","","","","","",""
"2","AMERIKA","0","3","INGILIZCE","45","ERKEK","UNIVERSITE","ESENLER","CIFCI","EVLI","2","7","5","0","0","0","0","1","","","","","","",""
"3","CIN","13000","1","CINCE","27","KADIN","ORTAOKUL","KUCUKCEKMECE","BAHCIVAN","BEKAR","0","4","2","0","0","0","0","1","","","","","","",""
"4","RUSYA","0","2","RUSCA","38","ERKEK","LISE","GUNGOREN","ISSIZ","EVLI","0","6","1","1","1","2","1","0","","","","","","",""
"5","JAPONYA","0","2","JAPONCA","41","KADIN","UNIVERSITE","BAGCILAR","HEMSIRE","BOSANMIS","2","5","0","1","5","1","1","0","","","","","","",""
"6","AFGANİSTAN","1500","4","FARSCA","52","ERKEK","EGITIMSIZ","ESENLER","ISSIZ","EVLI","1","8","2","0","4","1","0","1","","","","","","",""
"7","NIJERYA","3500","1","ARAPCA","23","ERKEK","ORTAOKUL","KUCUKCEKMECE","ASCI","BEKAR","2","3","1","0","0","0","1","0","","","","","","",""
"8","INGILTERE","0","2","INGILIZCE","35","KADIN","LISE","GUNGOREN","ASCI","EVLI","2","5","0","0","2","0","0","1","","","","","","",""
"9","BULGARISTAN","2900","3","BULGARCA","48","ERKEK","UNIVERSITE","BAGCILAR","DOKTOR","BEKAR","1","6","3","0","3","2","0","1","","","","","","",""
"10","IRAN","0","3","FARSCA","50","KADIN","EGITIMSIZ","ESENLER","ISSIZ","BEKAR","0","6","0","1","0","2","1","1","","","","","","",""
"11","SURIYE","2700","1","ARAPCA","39","ERKEK","LISE","SULTANBEYLI","ISSIZ","EVLI","1","2","0","1","0","1","1","0","","","","","","",""
"12","AMERIKA","0","2","INGILIZCE","34","KADIN","ORTAOKUL","KUCUKCEKMECE","HEMSIRE","BEKAR","2","5","1","0","5","0","0","1","","","","","","",""
"13","CIN","0","3","CINCE","25","ERKEK","UNIVERSITE","ESENLER","ASCI","BEKAR","0","6","4","0","4","0","1","1","","","","","","",""
"14","RUSYA","1900","4","RUSCA","57","KADIN","ILKOKUL","BAGCILAR","ISSIZ","EVLI","0","4","2","0","0","2","0","0","","","","","","",""
"15","JAPONYA","2600","2","JAPONCA","36","ERKEK","ORTAOKUL","GUNGOREN","ESNAF","BEKAR","2","4","1","0","2","1","0","1","","","","","","",""
"16","AFGANISTAN","1700","3","FARSCA","49","KADIN","LISE","SULTANBEYLI","HEMSIRE","BOSANMIS","1","7","4","1","0","1","1","0","","","","","","",""
"17","NIJERYA","3300","1","ARAPCA","22","ERKEK","UNIVERSITE","KUCUKCEKMECE","DOKTOR","BEKAR","2","5","3","1","0","0","1","1","","","","","","",""
"18","INGILTERE","2500","2","INGILIZCE","33","KADIN","ILKOKUL","ESENLER","ISSIZ","BOSANMIS","2","6","2","0","1","0","0","0","","","","","","",""
"19","BULGARISTAN","0","1","BULGARCA","46","ERKEK","EGITIMSIZ","BAGCILAR","OGRETMEN","BEKAR","1","3","0","0","5","2","1","1","","","","","","",""
"20","IRAN","1400","4","FARSCA","55","KADIN","LISE","GUNGOREN","ISSIZ","EVLI","0","8","0","0","4","1","0","0","","","","","","",""
"21","SURIYE","0","3","ARAPCA","29","KADIN","UNIVERSITE","SULTANBEYLI","HEMSIRE","BEKAR","1","7","2","0","0","2","0","1","","","","","","",""
"22","AMERIKA","2100","2","INGILIZCE","44","ERKEK","EGITIMSIZ","KUCUKCEKMECE","ISSIZ","EVLI","2","5","3","1","2","0","1","1","","","","","","",""
"23","CIN","4500","2","CINCE","60","ERKEK","UNIVERSITE","BESIKTAS","ISCI","BEKAR","0","4","1","1","3","0","1","1","","","","","","",""
"24","RUSYA","3800","1","RUSCA","47","KADIN","LISE","KADIKOY","DOKTOR","BEKAR","0","3","2","0","0","2","0","1","","","","","","",""
"25","JAPONYA","1000","2","JAPONCA","31","ERKEK","ORTAOKUL","UMRANIYE","ESNAF","EVLI","2","5","3","0","0","1","1","1","","","","","","",""
"26","AFGANISTAN","0","3","FARSCA","53","KADIN","UNIVERSITE","USKUDAR","ISCI","BEKAR","1","6","0","0","5","1","0","1","","","","","","",""
"27","NIJERYA","5200","1","ARAPCA","24","ERKEK","LISE","BESIKTAS","ISSIZ","BEKAR","2","2","1","0","4","0","0","1","","","","","","",""
"28","INGILTERE","4100","2","INGILIZCE","40","KADIN","EGITIMSIZ","KADIKOY","HEMSIRE","EVLI","2","4","2","1","0","0","1","1","","","","","","",""
"29","BULGARISTAN","3500","1","BULGARCA","58","ERKEK","UNIVERSITE","UMRANIYE","PROFESOR","EVLI","1","3","3","1","0","2","1","1","","","","","","",""
"30","IRAN","2900","2","FARSCA","37","KADIN","EGITIMSIZ","USKUDAR","ESNAF","BEKAR","0","5","2","0","0","1","0","1","","","","","","",""
"31","SURIYE","5500","3","ARAPCA","56","ERKEK","UNIVERSITE","BESIKTAS","ISCI","BEKAR","1","6","2","0","6","1","1","1","","","","","","",""
"32","AMERIKA","0","2","INGILIZCE","32","ERKEK","LISE","KADIKOY","BAKKAL","EVLI","2","4","0","0","1","0","0","1","","","","","","",""
"33","CIN","1800","1","CINCE","48","KADIN","EGITIMSIZ","BESIKTAS","EV_HANIMI","BEKAR","0","5","1","0","5","0","0","1","","","","","","",""
"34","RUSYA","3500","2","RUSCA","26","ERKEK","UNIVERSITE","USKUDAR","TAKSI_SOFORU","BOSANMIS","0","3","2","1","0","2","1","1","","","","","","",""
"35","JAPONYA","0","1","JAPONCA","55","KADIN","ORTAOKUL","SULTANBEYLI","MANAV","EVLI","2","2","0","1","0","1","1","1","","","","","","",""
"36","AFGANISTAN","1500","3","FARSCA","18","ERKEK","EGITIMSIZ","EYUPSULTAN","OGRENCI","BEKAR","1","6","4","0","2","1","0","1","","","","","","",""
"37","NIJERYA","2700","2","ARAPCA","36","KADIN","LISE","BESIKTAS","KASIYER","EVLI","2","4","1","0","3","0","1","1","","","","","","",""
"38","INGILTERE","2200","2","INGILIZCE","42","ERKEK","UNIVERSITE","SULTANBEYLI","INSAAT_USTASI","BOSANMIS","2","5","0","0","6","0","0","1","","","","","","",""
"39","BULGARISTAN","1700","1","BULGARCA","60","KADIN","EGITIMSIZ","KADIKOY","EV_HANIMI","BOSANMIS","1","3","1","0","0","2","0","1","","","","","","",""
